Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN,LOSS,WIN%
2019,Cleveland Cavaliers,82,240.9,38.9,87.6,0.44,10.3,29.1,0.36,28.6,58.5,0.49,16.4,20.7,0.79,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5,19,63,0.23
2019,Memphis Grizzlies,82,242.4,38,84.4,0.45,9.9,28.9,0.34,28.1,55.6,0.51,17.7,23,0.77,8.8,33,41.8,23.9,8.3,5.5,14,22,103.5,19,63,0.23
2021,Milwaukee Bucks,72,240.7,44.7,91.8,0.49,14.4,37.1,0.39,30.3,54.7,0.55,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,52,20,0.72
2021,Brooklyn Nets,72,241.7,43.1,87.3,0.49,14.2,36.1,0.39,29,51.2,0.57,18.1,22.5,0.8,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6,47,25,0.65
2021,Washington Wizards,72,241.7,43.2,90.9,0.48,10.2,29,0.35,33,61.9,0.53,20.1,26.2,0.77,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,51,21,0.71
2021,Utah Jazz,72,241,41.3,88.1,0.47,16.7,43,0.39,24.5,45.1,0.54,17.2,21.5,0.8,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,46,26,0.64
2021,Portland Trail Blazers,72,240.3,41.3,91.1,0.45,15.7,40.8,0.39,25.6,50.3,0.51,17.8,21.6,0.82,10.6,33.9,44.5,21.3,6.9,5,11.1,18.9,116.1,49,23,0.68
2021,Phoenix Suns,72,242.8,43.3,88.3,0.49,13.1,34.6,0.38,30.3,53.7,0.56,15.6,18.7,0.83,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,47,25,0.65
2021,Indiana Pacers,72,242.4,43.3,91.2,0.47,12.3,34,0.36,30.9,57.3,0.54,16.4,20.7,0.79,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,48,24,0.67
2021,Denver Nuggets,72,242.8,43.3,89.2,0.49,12.9,34.2,0.38,30.4,55,0.55,15.7,19.5,0.8,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,42,30,0.58
2021,New Orleans Pelicans,72,242.1,42.5,89.1,0.48,10.6,30.4,0.35,31.9,58.6,0.54,19,26.1,0.73,11.7,35.7,47.4,26,7.6,4.4,14.6,18,114.6,42,30,0.58
2021,Los Angeles Clippers,72,240,41.8,86.7,0.48,14.3,34.7,0.41,27.5,52,0.53,16.2,19.3,0.84,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114,41,31,0.57
2021,Atlanta Hawks,72,241.7,40.8,87.2,0.47,12.4,33.4,0.37,28.4,53.9,0.53,19.7,24.2,0.81,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7,41,31,0.57
2021,Sacramento Kings,72,240.3,42.6,88.6,0.48,12.1,33.3,0.36,30.5,55.3,0.55,16.4,22,0.75,9.4,32,41.4,25.5,7.5,5,13.4,19.4,113.7,42,30,0.58
2021,Golden State Warriors,72,240.3,41.3,88.2,0.47,14.6,38.7,0.38,26.7,49.4,0.54,16.6,21.1,0.79,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7,36,36,0.5
2021,Philadelphia 76ers,72,242.1,41.4,86.9,0.48,11.3,30.1,0.37,30.1,56.8,0.53,19.6,25.5,0.77,10,35,45.1,23.7,9.1,6.2,14.4,20.2,113.6,39,33,0.54
2021,Memphis Grizzlies,72,241.7,42.8,91.8,0.47,11.2,31.4,0.36,31.7,60.4,0.53,16.4,21.3,0.77,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,38,34,0.53
2021,Boston Celtics,72,241.4,41.5,88.9,0.47,13.6,36.4,0.37,27.9,52.5,0.53,16.1,20.8,0.78,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,40,32,0.56
2021,Dallas Mavericks,72,240.3,41.1,87.3,0.47,13.8,38.1,0.36,27.3,49.2,0.55,16.5,21.2,0.78,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,34,38,0.47
2021,Minnesota Timberwolves,72,241.7,40.7,90.9,0.45,13.1,37.6,0.35,27.6,53.3,0.52,17.6,23.1,0.76,10.5,33,43.5,25.6,8.8,5.5,14.3,20.9,112.1,31,41,0.43
2021,Toronto Raptors,72,240.3,39.7,88.7,0.45,14.5,39.3,0.37,25.3,49.3,0.51,17.4,21.3,0.82,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,27,45,0.38
